,Latin Name,Common Name,Description,Light
0,Adiantum fragrans,Maidenhair Fern,"
                                                        An elegant houseplant with black stalks and yellowy green, triangular fronds which appear soft and lacey due to lobed segments in the foliage. Often grown in terrariums as they love humidity and are known to flourish in a steamy bathroom or kitchen.
Ultimate indoor height 30-
                                                    ","

"
1,Aechmea 'Blue Rain',Blue rain Bromeliad,"
                                                        A Truly stunning plant, and very very easy to look after. A very long lasting Blue and red flower spike with deep green glossy leaves. A real statement plant.
                                                    ","

"
2,Aeschynanthus japhrolepis,Lipstick Plant,"
                                                        An easy to look after flowering indoor trailer. Deep red flowers form mid to late summer, prolific flowering if the conditions are right. This great climber from Indonesia can trail up to 1.5 meters!
                                                    ","

"
3,Aeschynanthus marmoratus,Zebra Basket Vine,"
                                                        This is a lovely dark green trailing house plant with oval shaped leaves with wonderful detailing in purple. Perfect for hanging baskets. The foliage really is stunning enough but it also flowers (ours here have not yet) 
                                                    ","

"
4,Aeschynanthus pulcher 'Mona Lisa',Lipstick plant,"
                                                        A very easy to look after flowering trailer. Dark green glossy leaves and a stunning bight red flower. Needs good light to get the best flowering. 
                                                    ","

"
5,Aglaonema Christine,Chinese evergreen,"
                                                        Aglaonemas are ideally suited where an attractive foliage display is needed for those shady corners. Large spear shaped leaves are usually decoratively variegated with greys, greens and yellows. They are tough indoor plants and are not especially difficult in a typical domestic e
                                                    ","

"
6,Aglaonema cutlass,Chinese evergreen,"
                                                        Another tough Chinese evergreen. Bold markings on the large thin leaves. Good for low light as well as those of us who are a little erratic with watering!
                                                    ","

"
7,Aloe Vera,Aloe Vera,"
                                                        Noted for its healing properties the Aloe vera plant is very popular in everything from cosmetics to medicinal uses. Apart from this it is also a great houseplant, easy to look after, oxygenates the air and looks great. An easy way to grow fresh air and plasters at the same time!
                                                    ","

"
8,Araucaria cunninghamii 'Bonsai',Hoop Pine,"
                                                        One of the best houseplants and also one of the least known about. A cousin of the equally interesting monkey puzzle the Hoop Pine is a great indoor conifer. The needles (can be a little sharp when older) are a wonderful green/blue colour with the new growth ranging from blues to
                                                    ","

"
9,Araucaria heterophylla,Norfolk Island Pine,"
                                                        This houseplant is cousin of the equally interesting monkey puzzle the Norfolk Island Pine is a great indoor conifer. Soft needles cover the tiered branches and stem giving the plant the appearance of an exotic Christmas tree. It can be seen as large specimens outside in warmer c
                                                    ","

"
10,Aspidistra elatior,Cast Iron Plant,"
                                                        Aspidistra is a Victorian favourite related to the Dracaena and Beaucarnea now making a comeback because, as its common name suggests, it is almost impossible to kill. In the United States of America it's has been known as the Barroom Plant, because it could even live in the smo
                                                    ","

"
11,Asplenium 'Leslie',Bird's Nest Fern,"
                                                        A lush, leathery-leaved unusual fern with lance-shaped fronds, each with a slightly wavy edge. Native to eastern Asia, it commonly grows on tree trunks, cliffs and forests. Although endangered in the wild, it is a popular ornamental houseplant throughout Europe and the United St
                                                    ","

"
12,Asplenium Parvati,,"
                                                        Originally from Easten Aisa this plant is a hybrid fern which is why it displays 2 different types of leaves: Lacy and Maidenhair. A much easier alternative to the Boston fern. Loves being repotted in the spring.
                                                    ","

"
13,Beaucarnea recurvata,Pony Tail Palm,"
                                                        Beaucarneas are curious plants with a heavily swollen base and grass like foliage giving it a unique appearance. The the stem is used to store water which is a great help to those of us that forget the odd watering or are absent for a week or so. From 8 foot specimens to dinky in
                                                    ","

"
14,Begonia maculata 'Wightii',Spotted begonia,"
                                                        This is not your average hanging basket begonia but a tropical talking point! The long leaves have a lovely red backing as well as the striking symetrical patterning on the front. Warmth is the key with these plants this along with good light they will thrive.

                                                    ","

"
15,Calathea lancifolia,Rattlesnake plant,"
                                                        Another beautiful Calathea from Brazil. Very bold markings on long elegant leaves. Great as a stand alone plant or as part of a tropical display.
                                                    ","

"
16,Calathea orbifolia,Peacock Plant,"
                                                        In vogue at the moment this luxurious Calathea is a true stunner! Very very large leaves with subtle colouration adorne this shade loving specimen.
                                                    ","

"
17,Calathea roseopicta,Rose painted Calathea,"
                                                        Large round leaves with a colourful almost stained glass quality to the top with intricate and bold symmetrical designs. The underneath of the leaves are a lovely rich purple. Great for darker warm rooms and offices.
                                                    ","

"
18,Calathea rufibarba,Velvet Calathea,"
                                                        The most tactile of houseplants, the leaves do really feel like the softest velvet. Not as bright as a lot of this family the leaves are a rich green on the top and a dark burgandy underneath. Long and arching form great for many interior design schemes.
                                                    ","

"
19,Calathea sanderiana,Pin Stripe Calathea,"
                                                        One of the larger Calathea varieties. A glossy indoor plant with distrinctive dark green leaves with fishbone-like stripes. The stripes have pink overtones and will turn white when the plant ages. The underside of the leaf are a beautiful purple color. It will add colour the h
                                                    ","

"
20,Ceropegia woodii,String of Hearts,"
                                                        This stunning evergreen succulent is a trailing vine that can spread up to 4 meters in length and 10cm in height. The leaves are shaped like hearts (hence the name) and are deep green with variegated silver markings. The stems are wire-thin and pinkish.
Discovered in 1881 by John
                                                    ","

"
21,Chamaedorea elegans,Parlour palm,"
                                                        For over a century Parlour palms have enjoyed a place in the British home. A low growing palm (up to 3 feet high) that is very tough it will tolerate a lot of abuse but with a small amount of care will thrive. Great in almost any room of the house
                                                    ","

"
